score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-1000000000.0,1,106.82678327162968,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.5,0.2,BNB/USDT
-1000000000.0,1,102.84120972752179,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.5,0.3,BNB/USDT
-1000000000.0,1,98.85563618342296,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.5,0.4,BNB/USDT
-1000000000.0,1,106.82678327162968,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.8,0.2,BNB/USDT
-1000000000.0,1,102.84120972752179,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.8,0.3,BNB/USDT
-1000000000.0,1,98.85563618342296,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.8,0.4,BNB/USDT
-1000000000.0,1,106.82678327162968,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,1.0,0.2,BNB/USDT
-1000000000.0,1,102.84120972752179,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,1.0,0.3,BNB/USDT
-1000000000.0,1,98.85563618342296,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,1.0,0.4,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.5,0.2,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.5,0.3,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.5,0.4,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.8,0.2,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.8,0.3,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.8,0.4,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,1.0,0.2,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,1.0,0.3,BNB/USDT
-1000000000.0,1,84.91088129945372,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,1.0,0.4,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.5,0.2,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.5,0.3,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.5,0.4,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.8,0.2,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.8,0.3,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.8,0.4,BNB/USDT
-1000000000.0,1,80.01227491819563,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,1.0,0.2,BNB/USDT
